Season,GameCode,Team,PlayerID,PlayerName,PIR,IsStarter,IsPlaying,Dorsal,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Plusminus
2023,9,PAM,P012740,"ROBERTSON, KASSIUS",0,1,1,30,25:23,8,0,3,2,4,2,3,0,3,3,0,1,5,0,0,3,2,0
2023,9,PAM,P007870,"DAVIES, BRANDON",-3,1,1,32,15:07,4,2,3,0,1,0,0,0,1,1,0,0,3,0,0,4,1,-2
2023,9,PAM,P011982,"OJELEYE, SEMI",23,0,1,37,21:44,19,3,7,3,4,4,4,3,4,7,0,1,1,2,0,3,3,6
2023,9,MCO,P011212,"OKOBO, ELIE",13,0,1,2,29:27,17,0,2,4,7,5,5,0,2,2,1,1,4,0,0,3,4,1
2023,9,MCO,P011231,"BLOSSOMGAME, JARON",4,0,1,4,18:00,4,2,4,0,2,0,0,1,3,4,0,0,0,0,0,2,2,-13
2023,9,MCO,P010588,"BROWN, JOHN",12,1,1,10,32:15,8,4,6,0,0,0,0,0,0,0,0,4,1,1,0,2,4,9
2023,9,MCO,P011226,"DIALLO, ALPHA",1,1,1,11,24:10,5,1,3,1,4,0,0,1,1,2,3,2,3,0,1,4,2,-13
2023,9,MCO,P004790,"CORNELIE, PETR",-1,0,0,12,07:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6
2023,9,MCO,P002581,"JAITEH, MAM",0,0,0,14,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,9,MCO,PLCZ,"MOTIEJUNAS, DONATAS",9,1,0,20,23:34,8,3,5,0,1,2,4,3,2,5,0,1,3,1,0,1,3,18
2023,9,MCO,P012515,"TARPEY, TERRY",-3,1,0,22,11:05,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1
2023,9,MCO,P004197,"OUATTARA, YAKUBA",0,0,0,24,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,9,MCO,P008099,"STRAZEL, MATTHEW",5,0,0,32,10:05,2,1,1,0,1,0,0,0,2,2,1,0,0,0,0,0,1,-17
2023,9,MCO,P011196,"HALL, DONTA",-7,0,0,45,10:06,0,0,2,0,0,0,0,1,1,2,0,0,3,0,1,3,0,-11
2023,9,MCO,P005985,"JAMES, MIKE",29,1,1,55,33:34,21,4,8,3,9,4,6,2,5,7,7,3,0,0,2,1,6,6
2023,10,BER,P012720,"BROWN, STERLING",-4,1,0,0,20:47,5,1,5,1,5,0,0,0,1,1,1,0,2,0,0,1,0,-13
2023,10,BER,P008384,"PROCIDA, GABRIELE",7,0,1,1,19:28,12,1,3,2,7,4,4,0,1,1,1,3,1,0,1,3,2,8
2023,10,BER,P008173,"SPAGNOLO, MATTEO",7,0,1,3,22:57,12,6,7,0,0,0,0,0,0,0,2,0,4,0,0,2,0,3
2023,10,BER,P008211,"DELOW, MALTE",8,0,0,6,11:51,5,0,0,1,2,2,2,0,1,1,1,0,0,0,0,1,3,7
2023,10,BER,P007025,"MATTISSECK, JONAS",0,0,0,9,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,10,BER,P006251,"SCHNEIDER, TIM",16,0,0,10,17:19,17,5,5,2,5,1,2,1,1,2,0,2,0,0,0,2,1,6
2023,10,BER,P008967,"THOMAS, MATT",5,0,1,11,23:52,5,1,4,1,5,0,0,2,3,5,6,1,3,0,0,3,1,-9
2023,10,BER,P006819,"NIKIC, KRESIMIR",5,1,0,16,04:02,2,1,1,0,0,0,0,2,0,2,0,1,0,0,0,0,0,-3
2023,10,BER,P007550,"SAMAR, ZIGA",2,1,0,18,17:03,0,0,3,0,0,0,0,1,1,2,5,1,2,0,0,2,1,-8
2023,10,BER,P006919,"OLINDE, LOUIS",13,1,1,19,23:58,11,3,4,0,2,5,5,1,2,3,2,1,1,1,1,4,4,-12
2023,10,BER,P003958,"THIEMANN, JOHANNES",22,1,1,32,24:46,13,4,6,1,2,2,2,1,9,10,1,1,2,0,0,0,2,-7
2023,10,BER,P012721,"BEAN, JUSTIN",11,0,0,34,13:57,4,1,1,0,0,2,2,2,1,3,0,2,1,1,0,1,3,3
2023,10,BAS,P011948,"HOWARD, MARKUS",0,1,0,0,20:57,5,1,1,1,7,0,0,0,2,2,5,1,5,0,0,4,2,-4
2023,10,BAS,P011064,"MANNION, NICCOLO",11,0,0,1,16:11,8,1,1,2,4,0,0,0,2,2,4,0,1,0,0,0,0,2
